Metric,Base Train,Base Test,Best Train,Best Test
MAE,0.042410773913743254,0.11900069317412594,0.02920060855504904,0.04187991363658316
MSE,0.005529044405415613,0.02461351120153158,0.0015383794809856724,0.0028466508590495434
RMSE,0.07435754437456642,0.1568869376383247,0.0392221809820116,0.05335401446048407
R2,0.9944709555945844,0.9750906949078461,0.9984616205190143,0.9971191393963128
NRMSE,0.012279159648599313,0.030871787839961702,0.006477021613547395,0.010498858857398893
MAPE,20.37492099075558,593.340408699089,11.11309162922618,197.04380860549153
Max Error,0.4039998037777477,0.5923633058129512,0.20445688523040095,0.17759076085611772
