Metric,Base Train,Base Test,Best Train,Best Test
MAE,0.18267559578190753,0.4804535935342058,0.1826169981862325,0.48049108638956994
MSE,0.055277813379264025,0.3667240413404801,0.055316314416810376,0.36680652157751764
RMSE,0.23511234203942596,0.605577444544032,0.2351942057466773,0.6056455412017144
R2,0.944722186620736,0.6412695796484409,0.9446836855831896,0.6411888972639562
NRMSE,0.04058083769311366,0.10480997825783012,0.04059496752478522,0.10482176404885557
MAPE,44.78847809377888,129.5816254512593,44.63377888128747,130.46904257508814
Max Error,0.8558557439331091,1.714744808548462,0.8546983519393414,1.71737716754691
