Metric,Base Train,Base Test,Best Train,Best Test
MAE,0.033139849816625044,0.05168946218175943,0.27704126078566804,0.2775134902362004
MSE,0.0019932027867685044,0.0042997649173324715,0.12615254794805744,0.12494694885349501
RMSE,0.04464529971641477,0.06557259272998492,0.35517959956627215,0.3534783569803037
R2,0.9980067972132315,0.9957053044201144,0.8738474520519427,0.8755639101563033
NRMSE,0.006887210122940161,0.010815925266972934,0.05479180449303306,0.05830477846643208
MAPE,28.758078375612307,41.525036213009734,159.20643872112495,205.23384291849337
Max Error,0.34959030819807035,0.32361586852454594,1.8542389854935393,2.0427960674573895
