Metric,Base Train,Base Test,Best Train,Best Test
MAE,0.08143001401146428,0.10918573761575025,0.3564275112097765,0.3840230868353676
MSE,0.0114198890902189,0.020344119531607575,0.20118741732853962,0.23221844256308452
RMSE,0.1068638811302439,0.14263281365663225,0.4485392037810515,0.4818904881434002
R2,0.988580110909781,0.9797661416399613,0.7988125826714604,0.7679480496670074
NRMSE,0.01648536371290809,0.023526686819915314,0.06919393003157677,0.07948582311037318
MAPE,65.68962313430957,80.6931897545016,231.7647982214222,295.0872442209326
Max Error,0.6776162940402275,0.9309221179567913,2.257073552120035,1.8994849182083082
