Metric,Base Train,Base Test,Best Train,Best Test
MAE,0.06249352562479929,0.2280533260803229,0.0308096790196958,0.04047362835106461
MSE,0.015348028503891255,0.08113301766327675,0.001623965113741479,0.0027221228589452105
RMSE,0.12388716036737324,0.2848385817674227,0.04029845051291028,0.052173967253269234
R2,0.9846519714961087,0.9206354690454677,0.9983760348862585,0.9973372122703802
NRMSE,0.021383159656867632,0.04929827857857747,0.0069555892530480355,0.00902998026545931
MAPE,132.4799907182534,72.67757550029309,129.2266261537284,12.764117215625017
Max Error,0.8225669144709473,0.8405545207505152,0.1690514245324803,0.1658405197668732
