Metric,Base Train,Base Test,Best Train,Best Test
MAE,0.1831866351430578,0.46802581225875844,0.1831866351430578,0.4680258122587584
MSE,0.05481380139232917,0.34383332816561846,0.05481380139232917,0.34383332816561846
RMSE,0.2341234746716552,0.5863730281703095,0.2341234746716552,0.5863730281703095
R2,0.945186198607671,0.6568980705458438,0.945186198607671,0.6568980705458438
NRMSE,0.036117073354167556,0.09671978165290004,0.036117073354167556,0.09671978165290004
MAPE,81.37916034984404,300.39243023855164,81.37916034984404,300.39243023855164
Max Error,0.8441212602920278,2.085506606449994,0.8441212602920278,2.085506606449994
