Metric,Base CNN Train,Base CNN Test,Best CNN Train,Best CNN Test
MAE,0.4678493186670471,0.5690847989943424,0.7997262853926196,0.8302439252974168
MSE,0.3356624184609201,0.4966943365137706,0.9936688614036052,1.0171648709368073
RMSE,0.5793638049282334,0.7047654478716806,0.9968294043634573,1.0085459191017567
R2,0.66433758153908,0.5141322955742751,0.006331138596394892,0.005006651911253157
NRMSE,0.09999929535436652,0.12197688657958242,0.17205465232196618,0.17455352210594507
MAPE,388.21551879909305,246.10032604555428,106.4487303137289,100.12447705861709
Max Error,1.9149797496685446,2.095123571337675,3.110369131740383,3.165167437726993
