Metric,Base Train,Base Test,Best Train,Best Test
MAE,0.3243977346172114,0.42457507860743404,0.5080541424230803,0.5352630416771134
MSE,0.17398187505602958,0.29630132577691326,0.41613959451986643,0.43928960089306385
RMSE,0.41711134611279704,0.544335673805156,0.6450888268446962,0.662789258281291
R2,0.8260181249439704,0.7101572649610101,0.5838604054801336,0.570285758718152
NRMSE,0.07199421216994696,0.09421059296459881,0.11134355922257748,0.11471188099201814
MAPE,173.5630430612589,131.49138416342825,520.4223159543149,86.57164988375169
Max Error,1.5575591301567548,1.5822296139458145,2.178383637991003,2.1367056349761673
