Metric,Base Train,Base Test,Best Train,Best Test
MAE,0.44379647662506755,0.5424655792321076,3.60383453589467e-08,0.5249528628164601
MSE,0.30523503485504566,0.452527727529706,5.802706761847781e-15,0.40868137897819734
RMSE,0.5524808004402014,0.6727018117484937,7.617549974793589e-08,0.6392819244888732
R2,0.6947649651449543,0.5480930976435301,0.9999999999999941,0.591897005198995
NRMSE,0.08522848733665982,0.1109593538994211,1.1751218522811624e-08,0.10544688309444368
MAPE,210.5416042631023,249.9518556574984,1.1347997246324475e-05,258.1573816967671
Max Error,1.8759956138411287,2.2194208905666097,5.302009657981444e-07,2.280063668760341
