Metric,Base Train,Base Test,Best Train,Best Test
MAE,0.16701833229219923,0.3292574902514843,0.3114886327044556,0.34001206255243605
MSE,0.054413023505203675,0.1915950065709496,0.1585213476889436,0.18746963177948459
RMSE,0.233265993031997,0.43771566863770095,0.3981473944269177,0.4329776342716614
R2,0.9455869764947963,0.806102492499646,0.8414786523110565,0.810277444153585
NRMSE,0.038520776783595174,0.08613250701318476,0.06574874763500378,0.08520016940797237
MAPE,79.62309406957675,2870.404963056439,133.05272707231188,3736.6318263040966
Max Error,1.5078284720447521,1.332125191135692,1.4273328864491308,1.2884937614629104
