Metric,Base CNN Train,Base CNN Test,Best CNN Train,Best CNN Test
MAE,0.5003193893610751,0.5245729139003072,0.7927241471547501,0.8026778413130407
MSE,0.3914869658703233,0.4234008042277124,0.9777605973754945,0.9796560118924018
RMSE,0.6256891927069888,0.6506925573784538,0.988817777639285,0.9897757381813326
R2,0.6085130341296767,0.5765019070907599,0.022239402624505494,0.021250334574690864
NRMSE,0.09652198482702636,0.10732901932612773,0.15254004007495928,0.16325937361230713
MAPE,323.34660131330173,410.27200022184155,111.63820553999473,115.24615353336354
Max Error,2.5134929058532296,2.1865404934704116,3.4807658119734457,3.3228750302555032
