Metric,Base Train,Base Test,Best Train,Best Test
MAE,0.4501142994473007,0.5501881310174498,2.938954155062975e-08,0.5425654906193128
MSE,0.30883232108710834,0.47186195561398536,3.730762008435391e-15,0.4438780939956989
RMSE,0.5557268403515421,0.6869220884598087,6.10799640507048e-08,0.6662417684262214
R2,0.6911676789128918,0.538423395786708,0.9999999999999962,0.5657972827145833
NRMSE,0.09591951028343335,0.1188886571072759,1.0542518040278887e-08,0.1153094222585981
MAPE,158.0375777341674,101.87945148829502,7.959370016731122e-06,112.77550290615332
Max Error,1.7887533754316434,2.1494263019468836,3.5431539369135123e-07,2.270426488930419
