Metric,Base Train,Base Test,Best Train,Best Test
MAE,0.4388331771808398,0.5383734220892312,2.85119764621228e-08,0.5309912315543823
MSE,0.3022113240266672,0.4424765950830155,3.640687274007147e-15,0.4086144852640157
RMSE,0.5497375046571474,0.6651891423369863,6.033810797503637e-08,0.6392296029315411
R2,0.6977886759733327,0.5522059241034066,0.9999999999999963,0.5864749732300911
NRMSE,0.09078183849783815,0.13089412276638798,9.964036157349437e-09,0.12578587471838568
MAPE,152.74894719213802,4393.385735029882,1.0721380266048174e-05,1534.5031020398771
Max Error,1.938884989277576,1.8370531335772289,3.516840478834382e-07,1.8244895408236195
