Metric,Base Train,Base Test,Best Train,Best Test
MAE,0.1743859824071995,0.44295693263585795,0.1862611873901007,0.44400327122235167
MSE,0.05089156523011649,0.31477480578582884,0.060602367141337654,0.3177672470716566
RMSE,0.22559158944897856,0.5610479531963635,0.24617548038205928,0.5637084770266069
R2,0.9491084347698835,0.681442374944262,0.9393976328586624,0.6784139718713025
NRMSE,0.03725345108589639,0.11040150085058319,0.040652606949401565,0.11092503154387637
MAPE,58.60271971770998,3730.4840635878227,57.51930662908704,3523.6172617517204
Max Error,0.9499788162467309,1.727755789315811,1.061181634959644,1.7414829260967541
