Metric,Base CNN Train,Base CNN Test,Best CNN Train,Best CNN Test
MAE,0.49034710473800536,0.524592790385916,0.7386580181394504,0.7469983251370826
MSE,0.37949789128045075,0.4285434867514998,0.8586061758588633,0.8510254235333353
RMSE,0.6160340017242967,0.654632329442642,0.926610045196394,0.922510392100455
R2,0.6205021087195493,0.5663064741415564,0.14139382414113666,0.1387473431806726
NRMSE,0.10172982337923328,0.1288167816387812,0.15301732692579512,0.18152910327524985
MAPE,216.47033806291648,524.8843114010358,113.87495055490116,1245.4555363033446
Max Error,2.1181943601495807,1.7461906165311172,3.341358830106118,2.3633016824278874
