sample_id,V_sourcebus,Angle_sourcebus,V_1,Angle_1,V_2,Angle_2,V_3,Angle_3,V_4,Angle_4,V_5,Angle_5,V_6,Angle_6,V_7,Angle_7,V_8,Angle_8,V_9,Angle_9,V_10,Angle_10,V_11,Angle_11,V_12,Angle_12,V_13,Angle_13,V_14,Angle_14,V_15,Angle_15,V_16,Angle_16,V_17,Angle_17,V_18,Angle_18,V_19,Angle_19,V_20,Angle_20,V_21,Angle_21,V_22,Angle_22,V_23,Angle_23,V_24,Angle_24,V_25,Angle_25,V_26,Angle_26,V_27,Angle_27,V_28,Angle_28,V_29,Angle_29,V_30,Angle_30,V_31,Angle_31,V_32,Angle_32,V_33,Angle_33,total_losses_kw,P_2,Q_2,P_3,Q_3,P_4,Q_4,P_5,Q_5,P_6,Q_6,P_7,Q_7,P_8,Q_8,P_9,Q_9,P_10,Q_10,P_11,Q_11,P_12,Q_12,P_13,Q_13,P_14,Q_14,P_15,Q_15,P_16,Q_16,P_17,Q_17,P_18,Q_18,P_19,Q_19,P_20,Q_20,P_21,Q_21,P_22,Q_22,P_23,Q_23,P_24,Q_24,P_25,Q_25,P_26,Q_26,P_27,Q_27,P_28,Q_28,P_29,Q_29,P_30,Q_30,P_31,Q_31,P_32,Q_32,P_33,Q_33
726.0,1.0355552269695043,-1.9418529195095657,1.0332339609004646,-1.989045869374636,1.0208450721050901,-2.2397438392196385,1.0127788573763974,-2.4277542276262687,1.00619899932791,-2.582274517350794,0.9925381247872119,-3.193153138187622,0.9893339264493654,-3.747411533413569,0.9775274041051591,-4.0769098536326105,0.9720226505274878,-4.262470214104755,0.9679215778205713,-4.4361532796220295,0.9672436934328762,-4.451610223468611,0.9661160296003259,-4.4811000549043225,0.9621014707606114,-4.551795762041188,0.9613177376177581,-4.6781571563264945,0.9605597479259819,-4.7765583832952165,0.9603254087164154,-4.883822872882437,0.9617030712526886,-5.093623064747246,0.9623309649559417,-5.180834010274735,1.020449494948411,-2.240944528606508,1.017857075068727,-2.2491724885168822,1.0173781732167253,-2.252476666280635,1.0169686116708243,-2.2551532242918486,1.0109216739758673,-2.4830429227047994,1.0090072780392516,-2.5532833072185035,1.0068266513493762,-2.6232783500743664,0.9812460488349112,-3.8440112093270744,0.9808416979205561,-4.0011621749508715,0.979850582988358,-4.126575331646727,0.9747427686658597,-4.351594953717542,0.9716961393249838,-4.578876662092198,0.9702946673190054,-4.726860769560586,0.9680438015292707,-4.887412267330475,0.9682290202416145,-4.962886430482237,0.96852005670497,-5.000198355749772,194.58263497896607,80.70403603044039,48.42242161826423,129.95021736827738,57.75565216367883,98.6568423151518,65.7712282101012,59.13082134578566,29.565410672892817,64.51862896438799,21.506209654796002,177.198581965764,88.599290982882,159.64643604219526,79.82321802109763,69.72171702732885,23.240572342442956,60.88404717090182,20.294682390300615,49.8012522778447,33.20083485189647,57.383457489814006,33.47368353572483,48.05521030972852,28.032206014008302,115.17444552066249,76.78296368044165,65.02090666994938,10.83681777832489,74.2402799687053,24.74675998956844,67.70348082760393,22.567826942534648,92.19627017971891,40.976120079875066,78.39147167213693,34.8406540765053,76.14083428662121,33.84037079405387,74.67362119264064,33.18827608561806,101.09720710570383,44.93209204697948,90.48907540240737,50.271708556892996,420.77158903216866,200.3674233486517,469.52274476651587,223.58225941262654,66.10573239842915,27.54405516601214,62.808129926580136,26.17005413607505,57.02992015592967,19.009973385309895,134.68350111351825,89.7890007423455,201.5500569369579,100.77502846847895,169.16869155220328,78.94538939102824,200.1362703864724,95.30298589832016,55.12142474284489,36.74761649522992
727.0,1.0351881097372895,-1.9300689174297698,1.0328612746552996,-1.9757569634882812,1.0204428900371005,-2.2183161941357326,1.0123914105708802,-2.4005413347041618,1.005792049049697,-2.549220967990764,0.9925768389932315,-3.141944248368292,0.9894727639490052,-3.6795348329991224,0.9760776613513751,-4.002985233828836,0.9698445280143638,-4.183009435540078,0.9654067608078087,-4.34735920237527,0.9646701289374725,-4.360382570170562,0.9633903910303785,-4.385229379845123,0.9588204857443708,-4.4296255406107345,0.9577147737304837,-4.55744912838568,0.9568100038647194,-4.652212386508183,0.956859488505142,-4.7530659234782595,0.9585926158480483,-4.948075906396167,0.9592848469268404,-5.033876806303291,1.0200621539907613,-2.2194742422471734,1.0176264813905833,-2.227226044132994,1.0172265157808433,-2.2299941241828316,1.016829470188036,-2.2325901202858116,1.0104340278238497,-2.455920770340917,1.0082894708142442,-2.5265980708888205,1.005760720115864,-2.593113699505497,0.9823285854536106,-3.795655586066225,0.9819301108220642,-3.9525396820374947,0.9809356858701569,-4.078013034778749,0.975802705234139,-4.302826075586818,0.9726746048091509,-4.530370988775513,0.9711093793501874,-4.676939395769912,0.9684101110498389,-4.829395363274462,0.9683322710660951,-4.908216671451997,0.9685783811302784,-4.945703171663866,194.05853215880168,104.82467093304648,62.89480255982788,91.12640113785824,40.50062272793699,168.6453294043804,112.43021960292026,53.67459343671721,26.837296718358594,56.84558697651105,18.948528992170356,202.2775211726641,101.13876058633205,203.02330180810463,101.51165090405232,59.37736468837176,19.792454896123928,45.792392851482944,15.26413095049432,43.59395892524118,29.06263928349412,74.16735390761589,43.2642897794426,71.0297876592681,41.43404280123972,176.54126255654313,117.69417503769542,45.621677368697306,7.60361289478288,55.20528678698739,18.401762262329132,56.23707127306372,18.745690424354578,93.97513933665076,41.766728594067,89.37039084105844,39.72017370713708,53.575811436206074,23.81147174942492,72.38339299368843,32.17039688608374,80.23588552651181,35.66039356733858,82.28022171291813,45.71123428495453,475.4092687823141,226.38536608681616,313.7975811803842,149.42741960970673,62.59288372796249,26.08036821998436,61.20234807130238,25.50097836304265,46.49183455623979,15.497278185413267,107.148385892411,71.43225726160733,178.54747219272957,89.27373609636479,140.84164115220642,65.72609920436304,280.0482651392538,133.35631673297794,68.66758249547658,45.77838833031772
728.0,1.0363642842870324,-1.8866599977097753,1.0341253337643408,-1.9335008387743915,1.0221751842290627,-2.182325116315273,1.0147069180754065,-2.3683968379102667,1.0084734403528055,-2.5214112348350515,0.9957785375116046,-3.1142890526221856,0.9929475159460432,-3.641143766853653,0.981991716158407,-3.953683347033611,0.9770443398937967,-4.128283202024574,0.9733109095982765,-4.292655962676263,0.972678258709174,-4.3077470310353485,0.9716257308657883,-4.336533028003736,0.967731749263804,-4.403363070339893,0.9670261776090414,-4.523044422470454,0.9663642204790133,-4.616340844966618,0.9664039762437819,-4.717916404706208,0.9682311969069027,-4.909759926505606,0.9688591480485156,-4.997059305498419,1.021688757901335,-2.1837887034690397,1.0185158630114186,-2.1937791714883557,1.0178890283126605,-2.1980858521811757,1.017303875552314,-2.2018961133036936,1.0130557652317371,-2.4232079937131297,1.0112689551701508,-2.4932273816034525,1.0092726655407076,-2.5650997605815635,0.9852750385023684,-3.7462714420554537,0.9850974124428227,-3.8936372757453475,0.9842970002992142,-4.0155869707722145,0.9796030971752419,-4.247292286742042,0.9768365977451555,-4.475724331981565,0.9755895476240568,-4.624276089843124,0.9733175521480851,-4.783820401050521,0.9734589173842166,-4.859601892070216,0.9737118522350295,-4.897067060292519,177.13094438114632,104.68431506885727,62.81058904131436,89.55250157096718,39.80111180931875,115.32248971432786,76.8816598095519,54.55458152780042,27.2772907639002,67.49006144025367,22.496687146751228,183.32570705110294,91.66285352555147,139.0231895820643,69.51159479103215,56.84955638947948,18.9498521298265,57.10018490754488,19.033394969181632,34.083305872961795,22.722203915307862,66.51012344763792,38.797572011122114,50.32488106193372,29.356180619461334,137.38941308951732,91.59294205967821,55.516233422756336,9.252705570459383,37.95431627076463,12.651438756921547,69.32988203159984,23.10996067719995,114.80905762086763,51.026247831496725,83.16837230780827,36.963721025692564,90.72837236230214,40.32372104991206,106.70146455416679,47.422873135185235,72.46395233756292,32.20620103891685,93.97497514304989,52.208319523916614,392.661725109401,186.98177386161947,496.0854389189326,236.23116138996784,45.37246783072462,18.905194929468582,46.185896675281086,19.244123614700445,45.50697074350276,15.168990247834259,130.34550317974816,86.89700211983211,160.05994247623676,80.02997123811838,156.98634883176265,73.26029612148929,205.22143765586128,97.72449412183867,67.72383987286733,45.14922658191155
729.0,1.0353463061749113,-1.9548378472822376,1.0330048841394799,-2.002064910549196,1.0205085708095114,-2.2529402207962184,1.0126462124017044,-2.440849710706709,1.006027807423107,-2.5955736512686225,0.9924482567330445,-3.207058164900178,0.9892757644122169,-3.760841036598304,0.9765926265366722,-4.0969109737756195,0.9707183015637874,-4.285179465095776,0.9663187019317332,-4.460945046304907,0.9655734813126546,-4.475867560326839,0.9643410353546288,-4.504346577820651,0.9598174272406427,-4.561954906194238,0.958705848358265,-4.697033305295863,0.957727863043967,-4.79864263467223,0.9574032539068119,-4.907738582343246,0.9586229134633067,-5.123819959618551,0.9591735678209384,-5.212629130689285,1.020026451760704,-2.254393330916118,1.0166761121327594,-2.2649463590849304,1.0160746867259685,-2.2690881930945506,1.0155968421059258,-2.272210323123309,1.0109818103333472,-2.496079641389522,1.0092800573349077,-2.566331134434742,1.0072659055908908,-2.637986919271718,0.981573374762498,-3.868141837572296,0.9814284052032604,-4.015994156996793,0.9806926497517334,-4.138187347782102,0.9761539809491271,-4.375723742592407,0.9736145324935324,-4.607044697902113,0.9724448033409759,-4.756678861237496,0.9703331307438328,-4.919913598641562,0.9704656666235932,-4.9963744330645135,0.9707865589793317,-5.03357328420758,194.75645237054366,111.62668805990404,66.97601283594243,94.58273826370487,42.03677256164661,120.3755155560206,80.25034370401373,55.24077248273813,27.620386241369054,65.98138086554542,21.99379362184848,194.56206193318005,97.28103096659002,167.52776924041706,83.76388462020853,55.71670406109495,18.572234687031656,69.51651226079635,23.172170753598788,35.96538123975144,23.976920826500958,54.31518973462394,31.68386067853063,62.97262550727379,36.73403154590971,138.47447805322727,92.3163187021515,67.26616973353127,11.211028288921872,73.86469981212312,24.621566604041046,79.77126640435935,26.590422134786458,95.40665365612158,42.402957180498476,106.6705147838482,47.40911768171031,102.11702081454399,45.38534258424177,86.9975264147976,38.6655672954656,93.48400905971312,41.54844847098361,74.1305774673744,41.18365414854134,394.5697830209894,187.89037286713776,506.3982396778545,241.14201889421636,59.816763745660296,24.92365156069178,45.066159939180324,18.777566641325127,60.820999253470525,20.273666417823513,114.0734455477024,76.04896369846827,162.85202882338706,81.42601441169353,128.8567898230981,60.13316858411248,230.05238528862822,109.54875489934673,46.570821031521525,31.047214021014348
730.0,1.0353541896212362,-1.943516042950184,1.03302287151465,-1.9902519744049054,1.0205804640050926,-2.238475304986576,1.0128543031687025,-2.4245125757984805,1.0065784966234823,-2.5771516028994053,0.9937141363212575,-3.171516802863856,0.990804364020938,-3.702587240732948,0.9794051651004271,-4.022740537954042,0.974185078410823,-4.202123653058579,0.9706025198544914,-4.36735245464511,0.9699800167278494,-4.38296795836319,0.9689500518459695,-4.41275404158798,0.9652261278709361,-4.487308621340027,0.9644750322936472,-4.610241427005509,0.9638493108571937,-4.704867395351302,0.9638062041784202,-4.808532139416178,0.9655584673054262,-5.00330388284498,0.9663116331752255,-5.0879255978701,1.0200846911432024,-2.2399671296728356,1.0164839046397967,-2.251281869901573,1.0157960344164187,-2.256012080471266,1.0150936773981356,-2.260589308654165,1.0109044053088665,-2.479871624399544,1.0088074854810638,-2.550406137674879,1.0063700797744537,-2.617843138975964,0.9830503102385317,-3.804762071377758,0.9826747699124824,-3.959848107984298,0.9816582889968704,-4.085182421637972,0.9763583959736832,-4.306337977739523,0.9731742515775156,-4.532315341064315,0.9717166934751397,-4.679800539689807,0.9693992713075086,-4.839012602517195,0.9695673881898109,-4.914588609275021,0.9698413233588821,-4.951968415100211,186.50892687637722,134.21378777651145,80.52827266590687,87.75739399426973,39.00328621967544,107.78275704888541,71.85517136592361,55.73092351695379,27.865461758476883,40.16546082357087,13.388486941190292,182.08564902850082,91.04282451425041,185.7261871666697,92.86309358333484,47.46571002178593,15.821903340595314,58.14818526622953,19.382728422076518,43.84640007718283,29.23093338478855,38.43253745001874,22.4189801791776,64.6582399809416,37.717306655549265,119.90332164595917,79.93554776397278,64.01357926697467,10.668929877829106,64.85165634739572,21.617218782465244,47.69679762103651,15.898932540345507,84.33435296536798,37.481934651274656,101.57429511388128,45.14413116172501,88.38703471546316,39.28312654020585,127.78555325159788,56.79357922293239,88.1343690931075,39.170830708047774,86.99608887728672,48.331160487381524,461.25686643404805,219.64612687335614,429.5598516740729,204.55231032098703,42.196495557477064,17.58187314894877,45.40424536425376,18.91843556843906,61.234542030457554,20.411514010152523,142.21650102668744,94.81100068445829,206.76728585960947,103.38364292980474,173.0718982758484,80.76688586206264,201.0935472169586,95.7588320080755,60.54951992202488,40.36634661468325
731.0,1.0376889365954707,-1.8068142192505703,1.0355757562205585,-1.8535586382673135,1.0242959065881865,-2.101908007201315,1.0171779076388656,-2.2878623517475076,1.0110994109472369,-2.440675771598966,0.9989823223434211,-3.025303710216193,0.9963941964859363,-3.5367754417358945,0.985046987250381,-3.8501484701178748,0.9801042780449888,-4.0230891515700495,0.9768053897694879,-4.181804302623426,0.9762234252616997,-4.197255331420992,0.9752178879497699,-4.226717580762242,0.9715600898684785,-4.300667854996524,0.9709630870916441,-4.41787769752793,0.970434835955144,-4.5097327198141866,0.9705021168365409,-4.610858858621582,0.9723992513345475,-4.800211134613134,0.9730864827246243,-4.886325582932419,1.023875115682611,-2.103178174399823,1.0210393961104656,-2.1121241742771213,1.0205767600050977,-2.1153080796992705,1.0202171842151335,-2.1176540672045,1.0158125205754787,-2.3425917502305427,1.0144865282004663,-2.4121948497579635,1.0130170099668847,-2.4893396840007176,0.9892564696384614,-3.6553215123057035,0.988879528089112,-3.8118828963478375,0.9878981232740977,-3.937549267643319,0.9826979607839909,-4.163592384661345,0.9796944736374803,-4.391808805346425,0.9782923290992253,-4.5399901752204785,0.9760910221632298,-4.701900291000277,0.976247135775933,-4.777958857205942,0.9765597027276414,-4.815197142543692,166.66161769613706,104.62427217603677,62.77456330562206,93.66740384241663,41.629957263296276,140.31789119975195,93.54526079983464,52.19090753210049,26.095453766050234,58.3674228510913,19.455807617030437,210.97438879294234,105.48719439647117,187.39763770336376,93.69881885168188,42.105961054732205,14.035320351577406,38.66220010529258,12.88740003509753,41.645991175931705,27.7639941172878,59.46969954215521,34.6906580662572,56.41199204653444,32.90699536047842,119.77549569819818,79.85033046546545,56.65649819966693,9.442749699944482,42.67263804999044,14.224212683330151,60.398944513948344,20.132981504649454,91.46089276710877,40.649285674270565,105.34418947472793,46.81963976654574,80.38909707518694,35.72848758897197,65.77798639300815,29.23466061911473,91.62528961005847,40.72235093780376,84.418808426019,46.89933801445501,310.3439683797953,147.78284208561675,315.47033122577943,150.22396725037112,62.409539370629254,26.00397473776218,51.69550356489776,21.539793152040726,76.09859853766892,25.366199512556314,129.08674730587472,86.05783153724981,212.16977018199717,106.08488509099858,150.32259941155917,70.15054639206099,221.08277897219492,105.27751379628326,50.23997987011914,33.49331991341276
732.0,1.034902656932374,-1.9664978993976807,1.0325321623779378,-2.013077577116757,1.0198809838489522,-2.2604413673775468,1.0116743791652016,-2.4461451459437664,1.0049306208387783,-2.598882640192724,0.9908857714669195,-3.211327238424505,0.9874860742485816,-3.774627064640148,0.9753732272269264,-4.10236392890324,0.969939809647662,-4.284417454870582,0.9660901060617093,-4.452806421687997,0.9654224443521731,-4.468117471820956,0.9643215982788153,-4.497328980816396,0.9604391694041647,-4.569115814296037,0.9597418030760055,-4.691995362267867,0.959150303281313,-4.787225169553159,0.9589935017346178,-4.892191934596879,0.9603702067582587,-5.101963271096725,0.9610161796998786,-5.188772369936605,1.0194806971743113,-2.2616563400026544,1.016617994847417,-2.2707204155345497,1.0161026118377685,-2.274276817166383,1.015658881464042,-2.2771779573700996,1.0095934636912591,-2.50141276395758,1.0074812707242002,-2.571372997970932,1.00524795019523,-2.6408104509279986,0.9792050764615163,-3.8658638595049712,0.9787296534620497,-4.025443194189992,0.9776179964348836,-4.152676029667792,0.972122965704258,-4.370816715350751,0.9687795745997423,-4.596578550974845,0.96723442289325,-4.744029913068076,0.9646046353705036,-4.898966751523395,0.9646070577228739,-4.977242386692949,0.9649237885453289,-5.01444990996826,201.34631200613342,95.73209674691492,57.43925804814895,63.73963584524208,28.32872704232981,103.46389034115879,68.97592689410585,56.5663566119987,28.283178305999336,62.35174807686599,20.783916025622002,205.36170520437838,102.68085260218919,179.1248548415077,89.56242742075385,45.97398301199003,15.324661003996681,63.507620339828144,21.16920677994272,52.61549842345249,35.076998948968324,61.214873500366735,35.70867620854726,61.896909700533485,36.10653065864453,98.08593218266992,65.39062145511328,50.75978719405627,8.459964532342708,77.12104533070755,25.707015110235854,64.36176980297819,21.453923267659402,72.01363580552905,32.00606035801291,90.68053338331077,40.30245928147145,81.29005421123503,36.12891298277112,80.79538426447212,35.90905967309872,119.92973162636083,53.302102945049256,121.2112383867293,67.3395768815163,428.341940003728,203.97235238272756,475.33217860142406,226.34865647686854,46.36792498667502,19.31996874444792,54.91269827665352,22.880290948605627,61.97618234146658,20.658727447155535,144.47078246052206,96.31385497368137,182.67392114487416,91.33696057243708,158.21572154361496,73.83400338702036,273.018772460665,130.0089392669833,46.67795418049458,31.118636120329718
733.0,1.0358015392191622,-1.926193522597826,1.0335043420479526,-1.9733306173562193,1.0212437341522385,-2.223735143587428,1.0134463329079273,-2.4114253564533317,1.007018667306112,-2.566005984178401,0.9936951966173084,-3.1715474642532095,0.9906440039209871,-3.7156289822290463,0.978260776693842,-4.045796426936902,0.9724475277212805,-4.231548418341898,0.9687581742800692,-4.398666065030269,0.9681317880246103,-4.414259671911229,0.9671026095536962,-4.444005404688298,0.9634002431428152,-4.5189228105346535,0.9628392863166189,-4.637156070872417,0.9622900301896499,-4.730808929811615,0.9622358916070267,-4.834096071982494,0.9638634173431633,-5.033798094958485,0.9645107838360705,-5.120627387537803,1.0208022127363372,-2.2250686645764532,1.017689531478359,-2.23488490464409,1.0171054385000684,-2.238904570616979,1.016570781588254,-2.2423910856305818,1.011512523599808,-2.466830635088117,1.0094234911601527,-2.5374631676126045,1.006955145969081,-2.60460744643319,0.983082450511433,-3.825120446436814,0.9827936561190904,-3.978419657120127,0.9819001542892299,-4.1029307996583055,0.977056271674855,-4.3344456263998845,0.9742505791227349,-4.5640578990462926,0.9728993802294306,-4.71226630839451,0.9706001298101996,-4.871898394302136,0.9706858791861674,-4.9487330850125195,0.9709718337363008,-4.986067555788807,189.0738764255949,105.07277677778947,63.04366606667368,65.06495347573434,28.917757100326373,94.07033764435894,62.71355842957263,63.05809587682543,31.529047938412702,67.08810193347074,22.362700644490253,181.58834350235404,90.79417175117702,239.58634544672228,119.79317272336114,57.301404542866,19.10046818095534,61.09210735875628,20.3640357862521,45.47644054078456,30.317627027189705,67.34212618910195,39.2829069436428,46.95490606719945,27.39036187253301,105.52774766948744,70.35183177965828,54.6899882473677,9.114998041227945,57.18345137640566,19.06115045880189,64.98932200478986,21.663107334929958,83.50611364182899,37.11382828525733,91.23462093215112,40.548720414289384,86.4150618252226,38.40669414454337,97.4281016353635,43.301378504606,85.50744460838708,38.003308714838695,80.75309594412016,44.86283108006677,466.47718557432233,222.1319931306296,424.55734169157836,202.17016271027535,58.017193938533474,24.173830807722272,64.4515135125147,26.854797296881113,59.33414344307114,19.778047814357052,110.43487473545783,73.62324982363855,182.3811439503957,91.19057197519786,140.24551548121963,65.44790722456919,235.34232372149944,112.06777320071399,57.15757421619627,38.10504947746418
734.0,1.0367031880975728,-1.8710939502250292,1.0344922069990858,-1.91812882091963,1.022691097006965,-2.168011595277827,1.0151268839955765,-2.3547777831636236,1.0086905655593699,-2.50827049646695,0.9954079385704219,-3.1104732932662906,0.9923623052394805,-3.6517469024549465,0.9793399786465714,-3.9842836748721124,0.9731983722631915,-4.171120655472265,0.9691552355905843,-4.339607521147635,0.9684536164637138,-4.354426168533423,0.9672631116933037,-4.38269817929667,0.9629860715157751,-4.444503545272378,0.9620697440112733,-4.57295564105589,0.9612424033443514,-4.671235298413484,0.9610805644518929,-4.777507732520773,0.9626649557849335,-4.978912275596598,0.963341437117341,-5.0651085873189245,1.0222511112840715,-2.1693390457606374,1.019289562966282,-2.178678455244455,1.018685270828604,-2.1828290465941986,1.0181508167615023,-2.1863088871729266,1.0136451848185,-2.409862066062094,1.0121991387593776,-2.479845454164132,1.010490040339403,-2.554582708552094,0.9849103234237613,-3.7649466758394707,0.9846365731138383,-3.918234595008057,0.9837568037205192,-4.042968019088852,0.978909790517206,-4.27601615140572,0.9761279036293834,-4.506710645092027,0.9747309837117544,-4.654786306249231,0.9725143128138527,-4.816110750141912,0.9726146808511084,-4.892886999756445,0.9729189713858002,-4.930152779858471,185.22195067683174,69.39594811854771,41.63756887112862,99.33205846538577,44.14758154017145,103.20169445517372,68.80112963678248,62.76315967574621,31.38157983787309,36.00437864981856,12.001459549939524,188.0150934671332,94.0075467335666,237.18732522431168,118.59366261215584,43.675047387512734,14.558349129170916,54.378215543730015,18.12607184791001,45.09579201098785,30.063861340658566,64.231600868741,37.46843384009891,57.00213385653612,33.25124474964606,136.50999250252607,91.00666166835072,70.5917744564039,11.765295742733976,65.44637191591363,21.815457305304548,59.83446084570539,19.9448202819018,95.7863549934234,42.5717133304104,71.63623888864379,31.838328394952793,92.95053320278802,41.31134809012801,97.54255223444348,43.352245437530435,97.74389266908054,43.4417300751469,70.9090030181159,39.393890565619955,347.5074753216386,165.47975015316118,408.7104227215517,194.62401081978646,58.99977444746473,24.583239353110297,61.11875716679928,25.46614881949969,62.977686453920306,20.992562151306775,95.77207383449462,63.84804922299641,207.07563710910193,103.53781855455097,132.81044579866693,61.97820803937794,237.01461225943572,112.86410107592174,52.012154944274386,34.67476996284959
735.0,1.0363404505028264,-1.8932443201964888,1.0340947932828533,-1.9403192456305534,1.0221088732488206,-2.190406079515437,1.0144411711637746,-2.3776376543804774,1.0079084066864679,-2.5317178837172025,0.9944028366979198,-3.139040765175788,0.9913099882065525,-3.685062856471793,0.9786649130796644,-4.021845820755137,0.9731838368723671,-4.206992921666467,0.9690598533398347,-4.380708738296184,0.9683759610035471,-4.396119871186334,0.9672508064692359,-4.425524322876615,0.963199981586724,-4.494633527426501,0.9623510140162904,-4.622148063968633,0.9615228478944295,-4.721036031733226,0.9613573140912112,-4.828017830753099,0.9630493658010258,-5.025015577075982,0.9636932824701617,-5.111906262825014,1.021677022151802,-2.191710441742117,1.0186084945448077,-2.2013848737508046,1.018057345539618,-2.205177314908379,1.017576204899529,-2.2083147210658725,1.0129653780041754,-2.4325828504286386,1.0114699028687093,-2.502557730924739,1.0097246201919452,-2.5769238488892467,0.983724799639189,-3.792512253764052,0.9834275171706348,-3.94526421442722,0.9825171760112281,-4.069396171534861,0.9776030323663688,-4.298106809797068,0.9747770640603961,-4.526016899714607,0.9734791627336671,-4.6740330866025595,0.9716063362845515,-4.839684608446781,0.9718534459709958,-4.91396939020551,0.9721053270871748,-4.951437022790047,187.1032397184652,87.1281744194495,52.276904651669696,104.77249458370738,46.56555314831439,104.10726347028712,69.40484231352474,74.87461076646417,37.43730538323207,54.96685231488896,18.322284104962993,236.48666841596457,118.24333420798229,154.6648892523724,77.3324446261862,68.19338245612097,22.731127485373662,66.16471737082098,22.054905790273665,45.31145650993014,30.207637673286758,51.162967657034,29.845064466603166,46.39699056019706,27.06491116011495,136.3311658355061,90.88744389033741,81.13563684135616,13.522606140226019,51.15262359398661,17.050874531328876,65.36432855450379,21.788109518167936,79.6184669051166,35.38598529116293,97.79127326302935,43.46278811690193,85.88422245676934,38.170765536341925,87.76781390626012,39.00791729167116,85.83401806382749,38.14845247281222,75.03055284974604,41.683640472081144,352.9434695122126,168.06831881533927,429.3066663246947,204.43174586890217,53.27172654880377,22.19655272866823,59.37686052344342,24.74035855143475,66.7426316289126,22.247543876304206,126.67326546936688,84.44884364624458,230.66454632986407,115.33227316493203,136.83332105399913,63.85554982519963,165.9605411157537,79.02882910273983,67.69375609866108,45.12917073244072
